ID,,line,rep,Vol. Tel R,Vol. Tel L,tel,Vol. OT R,Vol. OT L,Total OT,Av. Length Cer,Av. Height Cer,Vol. Cer,Av. Length DM,Av. Height DM,Vol. DM,Vol. Hyp R,Vol. Hyp L,Total Hyp,Vol. OB R,Vol. OB L,Total OB,TotalBrain
42,A1,A,1,0.372202694,0.325363557,0.697566252,1.075020938,0.965458851,2.04047979,1.101,0.85,0.737560542,1.501,0.426,0.392439608,0.239047507,0.318735596,0.557783104,0.007681226,0.01122252,0.018903747,4.444733042
43,B3,B,3,0.410434496,0.35001618,0.760450675,1.037009769,1.040404667,2.077414436,1.211,0.995,0.981188722,1.6605,0.4395,0.466625377,0.239258273,0.229693723,0.468951996,0.013423213,0.018339624,0.031762837,4.786394042
44,A3,A,3,0.323135481,0.308023771,0.631159252,0.87690455,0.842600357,1.719504907,1.1235,0.94,0.795823308,1.3995,0.4575,0.353059013,0.223174967,0.219711668,0.442886634,0.012100156,0.009086909,0.021187065,3.963620179
46,B1,B,1,0.303214443,0.316567896,0.619782339,0.845897656,0.83627472,1.682172376,1.0925,0.898,0.716682698,1.546,0.4175,0.361663497,0.261073967,0.243443522,0.504517488,0.008342473,0.007086783,0.015429256,3.900247656
47,B3,B,3,0.290977149,0.283980272,0.574957421,0.825753117,0.871922812,1.697675929,1.031,0.8995,0.678925209,1.4625,0.4225,0.353345982,0.216808042,0.255961778,0.47276982,0.00894364,0.011796832,0.020740472,3.798414833
48,B1,B,1,0.332862437,0.329686112,0.662548548,0.926800767,0.998706485,1.925507252,1.012,0.9115,0.713464898,1.6455,0.4265,0.428886828,0.301611489,0.25183299,0.553444479,0.010236171,0.007282536,0.017518707,4.301370713
49,A1,A,1,0.298537736,0.277927881,0.576465617,0.868148664,0.900174391,1.768323055,1.074,0.9735,0.763234409,1.66,0.42,0.391022528,0.185905765,0.178265388,0.364171152,0.010345978,0.015744189,0.026090167,3.889306928
51,A2,A,2,0.318113276,0.278716363,0.59682964,0.968398784,0.913223431,1.881622215,0.98,0.926,0.709974238,1.778,0.466,0.510246372,0.233885939,0.225789187,0.459675126,0.0089932,0.009579408,0.018572608,4.176920198
55,B1,B,1,0.329862388,0.366325026,0.696187414,0.845893017,0.962377727,1.808270744,1.0515,0.8865,0.696085317,1.572,0.448,0.525902229,0.272063769,0.22935771,0.501421479,0.013950271,0.010695729,0.024646,4.252513183
56,A1,A,1,0.338368892,0.331727458,0.670096351,0.964046507,0.955949144,1.91999565,1.0255,0.8785,0.659065786,1.5145,0.4265,0.369035371,0.225828262,0.240539324,0.466367586,0.011826547,0.011542263,0.023368809,3.769560661
57,A2,A,2,0.355629052,0.419889389,0.775518441,1.048641523,1.135934675,2.184576198,1.1115,0.9215,0.788455291,1.53,0.477,0.423834482,0.285776752,0.282553267,0.568330019,0.016334865,0.016196876,0.032531742,4.773246171
59,A3,A,3,0.314402298,0.310973807,0.625376105,1.002764773,0.890605486,1.89337026,0.9905,0.8955,0.67304389,1.599,0.492,0.459761596,0.258716603,0.296448313,0.555164916,0.011037469,0.013240778,0.024278247,4.230995013
61,A2,A,2,0.334931188,0.346584679,0.681515867,1.035152904,1.048368708,2.083521612,0.9715,0.944,0.728543202,1.4775,0.5005,0.424033942,0.228140436,0.26009668,0.488237116,0.009505128,0.011272383,0.020777511,4.426629251
64,A2,A,2,0.303703863,0.327627148,0.631331012,0.916596739,0.933927169,1.850523908,1.0435,0.898,0.672270861,1.441,0.4455,0.35466561,0.266531881,0.221529459,0.48806134,0.005851001,0.009187244,0.015038245,4.011890975
67,A1,A,1,0.312786618,0.328281821,0.641068439,0.920707348,0.864481736,1.785189084,0.992,0.863,0.645116563,1.686,0.4685,0.472790048,0.218105386,0.251810053,0.469915439,0.007394955,0.007183823,0.014578778,4.028658351
70,A2,A,2,0.257351362,0.27160223,0.528953592,0.842114483,0.850533378,1.692647861,0.9675,0.8695,0.614539352,1.56,0.493,0.445029424,0.166223105,0.240488156,0.406711261,0.005918359,0.007292331,0.01321069,3.70109218
72,A2,A,2,0.331709708,0.36539248,0.697102189,0.920755534,0.965428364,1.886183898,0.98,0.913,0.701412633,1.525,0.467,0.427391885,0.260418433,0.244636748,0.505055182,0.007226801,0.006883572,0.014110373,4.231256161
73,B3,B,3,0.335416989,0.356764542,0.692181531,0.811379523,0.906301275,1.717680798,1.1025,0.855,0.74636529,1.599,0.431,0.402397739,0.240702336,0.225841078,0.466543414,0.011709365,0.006764135,0.0184735,4.043642272
74,B2,B,2,0.354731549,0.306109278,0.660840826,0.939631674,1.008840587,1.948472261,1.0235,0.918,0.717861646,1.464,0.4865,0.436379875,0.253998911,0.237817564,0.491816475,0.012017367,0.015080597,0.027097963,4.282469046
75,A3,A,3,0.296555792,0.324493494,0.621049286,0.894954137,0.964191651,1.859145788,1.0315,0.8585,0.652930742,1.606,0.423,0.500891306,0.22718413,0.22613351,0.453317641,0.011715261,0.016022708,0.027737969,4.115072731
77,A3,A,3,0.305958308,0.302712949,0.608671256,0.763799647,0.822822913,1.58662256,0.9175,0.8515,0.611218165,1.591,0.4455,0.423876093,0.287112271,0.258990598,0.54610287,0.013523454,0.012560035,0.026083489,3.496616125
78,B3,B,3,0.332363475,0.399148055,0.731511529,0.8793043,1.02739853,1.90670283,1.0285,0.8665,0.700033869,1.4935,0.4685,0.41734333,0.242744963,0.264034503,0.506779466,0.015863732,0.017699672,0.033563403,4.295934427
79,B2,B,2,0.314285198,0.348085523,0.662370722,0.884423746,1.068158736,1.952582482,1.0935,0.913,0.764872103,1.6885,0.4555,0.478879484,0.245389153,0.263298678,0.50868783,0.009731369,0.008901764,0.018633132,4.386025753
80,B3,B,3,0.363338901,0.367666484,0.731005385,1.018956533,1.160691486,2.179648019,1.1645,0.9285,0.853842313,1.565,0.454,0.444996202,0.268857873,0.264099076,0.532956949,0.019102435,0.02764552,0.046747954,4.789196822
81,A1,A,1,0.315600484,0.336186948,0.651787431,0.950912035,0.945087495,1.895999531,1.0715,0.887,0.743071378,1.6205,0.4955,0.496169006,0.230550053,0.273614141,0.504164194,0.010182057,0.012103854,0.022285912,4.313477452
83,B3,B,3,0.321814918,0.381635764,0.703450682,0.970333039,1.075423777,2.045756816,1.0525,0.954,0.777666845,1.5275,0.496,0.451899176,0.238559712,0.261656433,0.500216145,0.014575169,0.012165484,0.026740652,4.505730316
85,A3,A,3,0.341401844,0.380414045,0.721815889,1.057936536,1.229370026,2.287306562,1.117,0.9175,0.850098703,1.9095,0.472,0.567782783,0.286038568,0.25904152,0.545080088,0.015729166,0.014484369,0.030213535,5.00229756
86,A1,A,1,0.338846885,0.364954787,0.703801672,1.020441945,1.037761729,2.058203674,1.13,0.9485,0.886804312,1.64,0.485,0.49608064,0.292325314,0.247884194,0.540209508,0.020216571,0.021937025,0.042153596,4.727253401
87,A3,A,3,0.298040672,0.353242743,0.651283415,0.924189043,1.040606313,1.964795356,0.9915,0.848,0.637546789,1.474,0.4935,0.403399663,0.278070558,0.222992814,0.501063373,0.013203548,0.015520328,0.028723876,4.186812472
88,A3,A,3,0.288455761,0.346981684,0.635437445,0.914998259,0.96515803,1.880156289,0.933,0.883,0.644968449,1.465,0.505,0.447859476,0.256587503,0.267461972,0.524049475,0.012224419,0.012705164,0.024929583,4.157400717
89,B2,B,2,0.29196394,0.377940221,0.669904161,0.927777099,0.993077408,1.920854507,0.994,0.8795,0.705472026,1.556,0.5105,0.641007201,0.290901442,0.270361612,0.561263053,0.017805596,0.016154656,0.033960252,4.5324612
90,A2,A,2,0.262928923,0.293793653,0.556722575,0.843493906,0.858109368,1.701603275,0.995,0.971,0.714890297,1.533,0.51,0.463461527,0.267656739,0.269703204,0.537359943,0.013163556,0.010291516,0.023455072,3.734563767
91,A1,A,1,0.341103622,0.319398342,0.660501964,0.948909906,0.909206981,1.858116887,0.995,0.967,0.702372111,1.5655,0.525,0.445889311,0.296725352,0.261207557,0.55793291,0.014871095,0.009322828,0.024193923,4.249007105
92,B1,B,1,0.34171651,0.349909997,0.691626507,0.950643658,0.9864309,1.937074558,1.054,0.9425,0.774069278,1.521,0.486,0.445162173,0.236424354,0.231393596,0.467817951,0.011366591,0.008254141,0.019620732,4.335371199
93,B1,B,1,0.337150073,0.316339187,0.65348926,0.928656148,0.878197379,1.806853527,1.0235,0.898,0.725805835,1.552,0.49,0.463549063,0.257824225,0.230923642,0.488747867,0.011471395,0.013753379,0.025224774,4.163670326
95,B3,B,3,0.368224176,0.362649142,0.730873318,1.052045168,1.040476161,2.092521329,1.13,0.9395,0.822795435,1.6915,0.439,0.458075161,0.272419273,0.278624743,0.551044016,0.013809923,0.012777697,0.02658762,4.68189688
96,A1,A,1,0.325235938,0.348969372,0.67420531,0.914003426,0.92000963,1.834013056,1.0545,0.8955,0.693290291,1.3875,0.4335,0.345843298,0.216804523,0.247907281,0.464711804,0.009264391,0.010563846,0.019828238,4.031891996
99,B2,B,2,0.363701389,0.371786862,0.735488251,0.972207813,1.057697799,2.029905612,1.154,0.967,0.922134376,1.5725,0.454,0.448624186,0.316094835,0.322005765,0.6381006,0.012014846,0.01574027,0.027755116,4.80200814
,,,,,,,,,,,,,,,,,,,,,,
